,words,bbox,tags
0,Microsoft,"[0.1103515625, 0.044921875, 0.1904296875, 0.05859375]",vendor_name
1,INVOICE,"[0.7509765625, 0.03515625, 0.9375, 0.0625]",invoice_name
2,#45,"[0.890625, 0.072265625, 0.9365234375, 0.0908203125]",invoice_no
3,"Redmond,","[0.080078125, 0.1044921875, 0.16015625, 0.119140625]",ven_add
4,"Washington,","[0.1630859375, 0.1044921875, 0.2626953125, 0.119140625]",ven_add
5,United,"[0.2666015625, 0.1044921875, 0.318359375, 0.1162109375]",ven_add
6,States,"[0.3203125, 0.103515625, 0.3720703125, 0.1181640625]",ven_add
7,Bill,"[0.078125, 0.142578125, 0.1044921875, 0.158203125]",bill_add
8,To:,"[0.103515625, 0.142578125, 0.1318359375, 0.158203125]",bill_add
9,Mountain,"[0.0791015625, 0.1650390625, 0.1533203125, 0.1767578125]",bill_add
10,"View,","[0.1552734375, 0.1640625, 0.2001953125, 0.1787109375]",bill_add
11,"California,","[0.0791015625, 0.1806640625, 0.1611328125, 0.1943359375]",bill_add
12,United,"[0.1640625, 0.1806640625, 0.2158203125, 0.1923828125]",bill_add
13,States,"[0.0791015625, 0.1962890625, 0.1298828125, 0.2080078125]",bill_add
14,Ship,"[0.2978515625, 0.1435546875, 0.333984375, 0.1591796875]",ship_add
15,To:,"[0.333984375, 0.142578125, 0.36328125, 0.158203125]",ship_add
16,Mountain,"[0.298828125, 0.1650390625, 0.373046875, 0.1767578125]",ship_add
17,"View,","[0.375, 0.1640625, 0.419921875, 0.1787109375]",ship_add
18,"California,","[0.298828125, 0.1796875, 0.3798828125, 0.1943359375]",ship_add
19,United,"[0.3837890625, 0.1806640625, 0.4345703125, 0.1923828125]",ship_add
20,States,"[0.298828125, 0.1962890625, 0.349609375, 0.2080078125]",ship_add
21,Date:,"[0.7119140625, 0.1416015625, 0.751953125, 0.1533203125]",bill_date
22,Payment,"[0.6318359375, 0.1708984375, 0.6953125, 0.1826171875]",pay_type
23,Terms:,"[0.6982421875, 0.169921875, 0.751953125, 0.181640625]",pay_type
24,Due,"[0.67578125, 0.1962890625, 0.7099609375, 0.2109375]",due_date
25,Date:,"[0.7109375, 0.1982421875, 0.751953125, 0.2099609375]",due_date
26,PO,"[0.658203125, 0.2255859375, 0.6865234375, 0.2392578125]",other
27,Number:,"[0.6875, 0.2265625, 0.751953125, 0.2373046875]",other
28,Balance,"[0.6328125, 0.2548828125, 0.70703125, 0.26953125]",amt_due
29,Due:,"[0.7099609375, 0.2548828125, 0.7529296875, 0.26953125]",amt_due
30,Apr,"[0.83984375, 0.140625, 0.8701171875, 0.1572265625]",bill_date
31,"9,","[0.869140625, 0.1396484375, 0.8876953125, 0.1572265625]",bill_date
32,2022,"[0.88671875, 0.140625, 0.927734375, 0.1552734375]",bill_date
33,Card,"[0.890625, 0.16796875, 0.9287109375, 0.1826171875]",pay_type
34,May,"[0.8251953125, 0.197265625, 0.859375, 0.212890625]",due_date
35,"12,","[0.861328125, 0.1962890625, 0.88671875, 0.212890625]",due_date
36,2022,"[0.8876953125, 0.1982421875, 0.9267578125, 0.2099609375]",due_date
37,24325,"[0.8798828125, 0.224609375, 0.9287109375, 0.2392578125]",other
38,"3,318.72","[0.83984375, 0.255859375, 0.927734375, 0.2705078125]",amt_due
39,Item,"[0.072265625, 0.330078125, 0.107421875, 0.3447265625]",tab
40,surface,"[0.0732421875, 0.365234375, 0.1328125, 0.376953125]",tab
41,pro,"[0.1337890625, 0.365234375, 0.1650390625, 0.3798828125]",tab
42,mouse,"[0.072265625, 0.3876953125, 0.126953125, 0.3984375]",tab
43,Quantity,"[0.599609375, 0.3310546875, 0.662109375, 0.345703125]",tab
44,5,"[0.5986328125, 0.36328125, 0.6123046875, 0.3779296875]",tab
45,2,"[0.59765625, 0.3857421875, 0.6123046875, 0.400390625]",tab
46,Rate,"[0.7666015625, 0.330078125, 0.8037109375, 0.3447265625]",tab
47,"R1,500.00","[0.7275390625, 0.365234375, 0.80078125, 0.376953125]",unit_am
48,R20.00,"[0.75, 0.38671875, 0.8017578125, 0.3984375]",unit_am
49,Amount,"[0.8701171875, 0.33203125, 0.927734375, 0.34375]",am
50,"R7,500.00","[0.8525390625, 0.365234375, 0.9267578125, 0.376953125]",ut_am
51,R40.00,"[0.875, 0.38671875, 0.927734375, 0.3984375]",ut_am
52,Subtotal:,"[0.685546875, 0.470703125, 0.7509765625, 0.482421875]",subt
53,Discount,"[0.6328125, 0.4990234375, 0.697265625, 0.509765625]",dis
54,(12%):,"[0.7001953125, 0.498046875, 0.751953125, 0.5126953125]",dis_per
55,Tax,"[0.6669921875, 0.525390625, 0.69921875, 0.5400390625]",tax
56,(10%):,"[0.7001953125, 0.5263671875, 0.751953125, 0.541015625]",tax_per
57,Shipping:,"[0.681640625, 0.5546875, 0.7509765625, 0.5693359375]",ship_am
58,Total:,"[0.708984375, 0.5830078125, 0.7509765625, 0.5947265625]",total
59,Amount,"[0.6513671875, 0.611328125, 0.708984375, 0.623046875]",am_p
60,Paid:,"[0.7119140625, 0.609375, 0.7529296875, 0.6240234375]",am_p
61,"R7,540.00","[0.8525390625, 0.470703125, 0.9287109375, 0.4833984375]",subt
62,R904.80,"[0.8662109375, 0.4990234375, 0.927734375, 0.509765625]",dis_am
63,R663.52,"[0.8662109375, 0.5263671875, 0.927734375, 0.5380859375]",tax_am
64,R20.00,"[0.8740234375, 0.5537109375, 0.9287109375, 0.568359375]",ship_am
65,"R7,318.72","[0.8515625, 0.58203125, 0.9287109375, 0.5966796875]",total
66,"74,000.00","[0.8525390625, 0.6103515625, 0.927734375, 0.625]",am_p
67,Terms:,"[0.078125, 0.6806640625, 0.1328125, 0.6953125]",other
68,Late,"[0.078125, 0.701171875, 0.11328125, 0.7158203125]",other
69,fees,"[0.11328125, 0.701171875, 0.1494140625, 0.7158203125]",other
70,will,"[0.1484375, 0.701171875, 0.1767578125, 0.716796875]",other
71,increase,"[0.177734375, 0.703125, 0.2412109375, 0.71484375]",other
72,due,"[0.2421875, 0.701171875, 0.2744140625, 0.7158203125]",other
73,amount,"[0.275390625, 0.703125, 0.33203125, 0.71484375]",other
74,by,"[0.3330078125, 0.701171875, 0.35546875, 0.71875]",other
75,3%,"[0.3544921875, 0.701171875, 0.38671875, 0.716796875]",other
