,words,bbox,tags
0,Microsoft,"[187.59765625, 98.828125, 323.73046875, 128.90625]",vendor_name
1,INVOICE,"[1276.66015625, 77.34375, 1593.75, 137.5]",invoice_name
2,#45,"[1514.0625, 158.984375, 1592.08984375, 199.8046875]",invoice_no
3,"Redmond,","[136.1328125, 229.8828125, 272.265625, 262.109375]",ven_add
4,"Washington,","[277.24609375, 229.8828125, 446.58203125, 262.109375]",ven_add
5,United,"[453.22265625, 229.8828125, 541.2109375, 255.6640625]",ven_add
6,States,"[544.53125, 227.734375, 632.51953125, 259.9609375]",ven_add
7,Bill,"[132.8125, 313.671875, 177.63671875, 348.046875]",bill_add
8,To:,"[175.9765625, 313.671875, 224.12109375, 348.046875]",bill_add
9,Mountain,"[134.47265625, 363.0859375, 260.64453125, 388.8671875]",bill_add
10,"View,","[263.96484375, 360.9375, 340.33203125, 393.1640625]",bill_add
11,"California,","[134.47265625, 397.4609375, 273.92578125, 427.5390625]",bill_add
12,United,"[278.90625, 397.4609375, 366.89453125, 423.2421875]",bill_add
13,States,"[134.47265625, 431.8359375, 220.80078125, 457.6171875]",bill_add
14,Ship,"[506.34765625, 315.8203125, 567.7734375, 350.1953125]",ship_add
15,To:,"[567.7734375, 313.671875, 617.578125, 348.046875]",ship_add
16,Mountain,"[508.0078125, 363.0859375, 634.1796875, 388.8671875]",ship_add
17,"View,","[637.5, 360.9375, 713.8671875, 393.1640625]",ship_add
18,"California,","[508.0078125, 395.3125, 645.80078125, 427.5390625]",ship_add
19,United,"[652.44140625, 397.4609375, 738.76953125, 423.2421875]",ship_add
20,States,"[508.0078125, 431.8359375, 594.3359375, 457.6171875]",ship_add
21,Date:,"[1210.25390625, 311.5234375, 1278.3203125, 337.3046875]",bill_date
22,Payment,"[1074.12109375, 375.9765625, 1182.03125, 401.7578125]",pay_type
23,Terms:,"[1187.01171875, 373.828125, 1278.3203125, 399.609375]",pay_type
24,Due,"[1148.828125, 431.8359375, 1206.93359375, 464.0625]",due_date
25,Date:,"[1208.59375, 436.1328125, 1278.3203125, 461.9140625]",due_date
26,PO,"[1118.9453125, 496.2890625, 1167.08984375, 526.3671875]",other
27,Number:,"[1168.75, 498.4375, 1278.3203125, 522.0703125]",other
28,Balance,"[1075.78125, 560.7421875, 1201.953125, 592.96875]",amt_due
29,Due:,"[1206.93359375, 560.7421875, 1279.98046875, 592.96875]",amt_due
30,Apr,"[1427.734375, 309.375, 1479.19921875, 345.8984375]",bill_date
31,"9,","[1477.5390625, 307.2265625, 1509.08203125, 345.8984375]",bill_date
