,words,bbox,tags
0,Microsoft,"[187.59765625, 98.828125, 323.73046875, 128.90625]",
1,INVOICE,"[1276.66015625, 77.34375, 1593.75, 137.5]",
2,#20,"[1514.0625, 158.984375, 1592.08984375, 199.8046875]",
3,"Redmond,","[136.1328125, 229.8828125, 272.265625, 262.109375]",
4,"Washington,","[277.24609375, 229.8828125, 446.58203125, 262.109375]",
5,United,"[453.22265625, 229.8828125, 541.2109375, 255.6640625]",
6,States,"[544.53125, 227.734375, 632.51953125, 259.9609375]",
7,Bill,"[132.8125, 313.671875, 177.63671875, 348.046875]",
8,To:,"[175.9765625, 313.671875, 224.12109375, 348.046875]",
9,"Austin,","[134.47265625, 360.9375, 232.421875, 393.1640625]",
10,"Texas,","[234.08203125, 360.9375, 325.390625, 393.1640625]",
11,United,"[134.47265625, 397.4609375, 224.12109375, 423.2421875]",
12,State,"[227.44140625, 397.4609375, 298.828125, 423.2421875]",
13,Ship,"[506.34765625, 315.8203125, 567.7734375, 350.1953125]",
14,To:,"[567.7734375, 313.671875, 617.578125, 348.046875]",
15,"Austin,","[506.34765625, 360.9375, 604.296875, 393.1640625]",
16,"Texas,","[607.6171875, 360.9375, 698.92578125, 393.1640625]",
17,United,"[508.0078125, 397.4609375, 595.99609375, 423.2421875]",
18,State,"[600.9765625, 397.4609375, 672.36328125, 423.2421875]",
19,Date:,"[1210.25390625, 311.5234375, 1278.3203125, 337.3046875]",
20,Payment,"[1074.12109375, 375.9765625, 1182.03125, 401.7578125]",
21,Terms:,"[1187.01171875, 373.828125, 1278.3203125, 399.609375]",
22,Due,"[1148.828125, 431.8359375, 1206.93359375, 464.0625]",
23,Date:,"[1208.59375, 436.1328125, 1278.3203125, 461.9140625]",
24,PO,"[1118.9453125, 496.2890625, 1167.08984375, 526.3671875]",
25,Number:,"[1168.75, 498.4375, 1278.3203125, 522.0703125]",
26,Balance,"[1075.78125, 560.7421875, 1201.953125, 592.96875]",
27,Due:,"[1206.93359375, 560.7421875, 1279.98046875, 592.96875]",
28,Apr,"[1412.79296875, 309.375, 1464.2578125, 345.8984375]",
29,"16,","[1464.2578125, 309.375, 1509.08203125, 343.75]",
30,2022,"[1509.08203125, 309.375, 1578.80859375, 341.6015625]",
31,Check,"[1495.80078125, 373.828125, 1577.1484375, 399.609375]",
32,May,"[1402.83203125, 433.984375, 1460.9375, 468.359375]",
33,"28,","[1460.9375, 431.8359375, 1507.421875, 468.359375]",
34,2022,"[1509.08203125, 436.1328125, 1575.48828125, 461.9140625]",
35,24325,"[1495.80078125, 494.140625, 1578.80859375, 526.3671875]",
36,$0.00,"[1495.80078125, 560.7421875, 1578.80859375, 595.1171875]",
37,Item,"[122.8515625, 726.171875, 182.6171875, 758.3984375]",
38,licence,"[124.51171875, 801.3671875, 220.80078125, 827.1484375]",
39,tool,"[119.53125, 846.484375, 179.296875, 878.7109375]",
40,Quantity,"[1019.3359375, 728.3203125, 1125.5859375, 760.546875]",
41,1,"[1019.3359375, 799.21875, 1035.9375, 829.296875]",
42,1,"[1019.3359375, 848.6328125, 1035.9375, 878.7109375]",
43,Rate,"[1303.22265625, 726.171875, 1366.30859375, 758.3984375]",
44,"$1,300.00","[1238.4765625, 803.515625, 1361.328125, 829.296875]",
45,$150.00,"[1261.71875, 852.9296875, 1362.98828125, 878.7109375]",
46,Amount,"[1479.19921875, 730.46875, 1577.1484375, 756.25]",
47,"$1,300.00","[1450.9765625, 803.515625, 1575.48828125, 829.296875]",
48,$150.00,"[1474.21875, 852.9296875, 1577.1484375, 878.7109375]",
49,Subtotal:,"[1165.4296875, 1035.546875, 1276.66015625, 1061.328125]",
50,Discount,"[1075.78125, 1095.703125, 1185.3515625, 1121.484375]",
51,(12%):,"[1190.33203125, 1095.703125, 1278.3203125, 1127.9296875]",
52,Tax,"[1133.88671875, 1155.859375, 1188.671875, 1188.0859375]",
53,(10%):,"[1190.33203125, 1158.0078125, 1278.3203125, 1190.234375]",
54,Shipping:,"[1158.7890625, 1220.3125, 1276.66015625, 1252.5390625]",
55,Total:,"[1205.2734375, 1282.6171875, 1276.66015625, 1308.3984375]",
56,Amount,"[1107.32421875, 1344.921875, 1205.2734375, 1370.703125]",
57,Paid:,"[1210.25390625, 1340.625, 1279.98046875, 1372.8515625]",
58,"$1,450.00","[1450.9765625, 1035.546875, 1575.48828125, 1061.328125]",
59,$174.00,"[1474.21875, 1097.8515625, 1577.1484375, 1123.6328125]",
60,$127.60,"[1472.55859375, 1155.859375, 1578.80859375, 1188.0859375]",
61,$20.00,"[1487.5, 1218.1640625, 1578.80859375, 1250.390625]",
62,"$1,423.60","[1449.31640625, 1280.46875, 1577.1484375, 1312.6953125]",
63,"$1,423.60","[1449.31640625, 1342.7734375, 1577.1484375, 1375.0]",
64,Terms:,"[132.8125, 1497.4609375, 225.78125, 1529.6875]",
65,Late,"[132.8125, 1542.578125, 192.578125, 1574.8046875]",
66,fees,"[192.578125, 1542.578125, 254.00390625, 1574.8046875]",
67,will,"[252.34375, 1542.578125, 300.48828125, 1576.953125]",
68,increase,"[302.1484375, 1546.875, 410.05859375, 1572.65625]",
69,due,"[411.71875, 1542.578125, 466.50390625, 1574.8046875]",
70,amount,"[468.1640625, 1546.875, 564.453125, 1572.65625]",
71,by,"[566.11328125, 1542.578125, 604.296875, 1581.25]",
72,3%.,"[602.63671875, 1542.578125, 657.421875, 1576.953125]",
