,words,bbox,tags
0,Microsoft,"[187.59765625, 98.828125, 323.73046875, 128.90625]",
1,INVOICE,"[1276.66015625, 77.34375, 1593.75, 137.5]",
2,#2,"[1532.32421875, 158.984375, 1593.75, 199.8046875]",
3,Mountain,"[134.47265625, 232.03125, 258.984375, 255.6640625]",
4,"View,","[263.96484375, 227.734375, 340.33203125, 262.109375]",
5,"California,","[343.65234375, 229.8828125, 481.4453125, 262.109375]",
6,United,"[488.0859375, 229.8828125, 576.07421875, 255.6640625]",
7,States,"[581.0546875, 229.8828125, 667.3828125, 255.6640625]",
8,Bill,"[132.8125, 313.671875, 177.63671875, 348.046875]",
9,To:,"[175.9765625, 313.671875, 224.12109375, 348.046875]",
10,"Redmond,","[136.1328125, 360.9375, 272.265625, 393.1640625]",
11,"Washington,","[134.47265625, 397.4609375, 302.1484375, 427.5390625]",
12,United,"[308.7890625, 397.4609375, 396.77734375, 423.2421875]",
13,States,"[134.47265625, 431.8359375, 220.80078125, 457.6171875]",
14,Ship,"[506.34765625, 315.8203125, 567.7734375, 350.1953125]",
15,To:,"[567.7734375, 313.671875, 617.578125, 348.046875]",
16,"Redmond,","[509.66796875, 360.9375, 645.80078125, 393.1640625]",
17,"Washington,","[508.0078125, 397.4609375, 675.68359375, 427.5390625]",
18,United,"[682.32421875, 397.4609375, 770.3125, 423.2421875]",
19,States,"[508.0078125, 431.8359375, 594.3359375, 457.6171875]",
20,Date:,"[1210.25390625, 311.5234375, 1278.3203125, 337.3046875]",
21,Payment,"[1074.12109375, 375.9765625, 1182.03125, 401.7578125]",
22,Terms:,"[1187.01171875, 373.828125, 1278.3203125, 399.609375]",
23,Due,"[1148.828125, 431.8359375, 1206.93359375, 464.0625]",
24,Date:,"[1208.59375, 436.1328125, 1278.3203125, 461.9140625]",
25,PO,"[1118.9453125, 496.2890625, 1167.08984375, 526.3671875]",
26,Number:,"[1168.75, 498.4375, 1278.3203125, 522.0703125]",
27,Balance,"[1075.78125, 560.7421875, 1201.953125, 592.96875]",
28,Due:,"[1206.93359375, 560.7421875, 1279.98046875, 592.96875]",
29,Apr,"[1412.79296875, 309.375, 1464.2578125, 345.8984375]",
30,"20,","[1462.59765625, 309.375, 1509.08203125, 343.75]",
31,2022,"[1509.08203125, 309.375, 1578.80859375, 341.6015625]",
32,cash,"[1515.72265625, 373.828125, 1578.80859375, 399.609375]",
33,May,"[1402.83203125, 433.984375, 1460.9375, 468.359375]",
34,"18,","[1464.2578125, 431.8359375, 1507.421875, 468.359375]",
35,2022,"[1509.08203125, 436.1328125, 1575.48828125, 461.9140625]",
36,12345,"[1497.4609375, 494.140625, 1578.80859375, 526.3671875]",
37,$140.00,"[1459.27734375, 562.890625, 1577.1484375, 595.1171875]",
38,Item,"[122.8515625, 726.171875, 182.6171875, 758.3984375]",
39,surface,"[124.51171875, 803.515625, 225.78125, 829.296875]",
40,pro,"[227.44140625, 803.515625, 280.56640625, 835.7421875]",
41,Quantity,"[1019.3359375, 728.3203125, 1125.5859375, 760.546875]",
42,1,"[1019.3359375, 799.21875, 1035.9375, 829.296875]",
43,Rate,"[1303.22265625, 726.171875, 1366.30859375, 758.3984375]",
44,"$2,000.00","[1238.4765625, 803.515625, 1361.328125, 829.296875]",
45,Amount,"[1479.19921875, 730.46875, 1577.1484375, 756.25]",
46,"$2,000.00","[1450.9765625, 803.515625, 1575.48828125, 829.296875]",
47,Subtotal:,"[1165.4296875, 986.1328125, 1276.66015625, 1011.9140625]",
48,Discount,"[1075.78125, 1048.4375, 1185.3515625, 1072.0703125]",
49,(30%):,"[1190.33203125, 1044.140625, 1279.98046875, 1082.8125]",
50,Tax,"[1133.88671875, 1106.4453125, 1190.33203125, 1138.671875]",
51,(10%):,"[1190.33203125, 1108.59375, 1276.66015625, 1140.8203125]",
52,Total:,"[1205.2734375, 1170.8984375, 1276.66015625, 1196.6796875]",
53,Amount,"[1107.32421875, 1233.203125, 1205.2734375, 1258.984375]",
54,Paid:,"[1210.25390625, 1233.203125, 1276.66015625, 1258.984375]",
55,"$2,000.00","[1450.9765625, 983.984375, 1577.1484375, 1016.2109375]",
56,$600.00,"[1474.21875, 1048.4375, 1577.1484375, 1074.21875]",
57,$140.00,"[1474.21875, 1110.7421875, 1577.1484375, 1136.5234375]",
58,"$1,540.00","[1450.9765625, 1173.046875, 1575.48828125, 1198.828125]",
59,"$1,400.00","[1450.9765625, 1231.0546875, 1577.1484375, 1263.28125]",
