,words,bbox,tags
0,Microsoft,"[0.1103515625, 0.044921875, 0.1904296875, 0.05859375]",
1,INVOICE,"[0.7509765625, 0.03515625, 0.9375, 0.0625]",
2,#50,"[0.890625, 0.072265625, 0.9365234375, 0.0908203125]",
3,"Redmond,","[0.080078125, 0.1044921875, 0.16015625, 0.119140625]",
4,"Washington,","[0.1630859375, 0.1044921875, 0.2626953125, 0.119140625]",
5,United,"[0.2666015625, 0.1044921875, 0.318359375, 0.1162109375]",
6,States,"[0.3203125, 0.103515625, 0.3720703125, 0.1181640625]",
7,Bill,"[0.078125, 0.142578125, 0.1044921875, 0.158203125]",
8,To:,"[0.103515625, 0.142578125, 0.1318359375, 0.158203125]",
9,Mountain,"[0.0791015625, 0.1650390625, 0.1533203125, 0.1767578125]",
10,"View,","[0.1552734375, 0.1640625, 0.2001953125, 0.1787109375]",
11,"California,","[0.0791015625, 0.1806640625, 0.1611328125, 0.1943359375]",
12,United,"[0.1640625, 0.1806640625, 0.2158203125, 0.1923828125]",
13,States,"[0.0791015625, 0.1962890625, 0.1298828125, 0.2080078125]",
14,Ship,"[0.2978515625, 0.1435546875, 0.333984375, 0.1591796875]",
15,To:,"[0.333984375, 0.142578125, 0.36328125, 0.158203125]",
16,Mountain,"[0.298828125, 0.1650390625, 0.373046875, 0.1767578125]",
17,"View,","[0.375, 0.1640625, 0.419921875, 0.1787109375]",
18,"California,","[0.298828125, 0.1796875, 0.3798828125, 0.1943359375]",
19,United,"[0.3837890625, 0.1806640625, 0.4345703125, 0.1923828125]",
20,States,"[0.298828125, 0.1962890625, 0.349609375, 0.2080078125]",
21,Date:,"[0.7119140625, 0.1416015625, 0.751953125, 0.1533203125]",
22,Payment,"[0.6318359375, 0.1708984375, 0.6953125, 0.1826171875]",
23,Terms:,"[0.6982421875, 0.169921875, 0.751953125, 0.181640625]",
24,Due,"[0.67578125, 0.1962890625, 0.7099609375, 0.2109375]",
25,Date:,"[0.7109375, 0.1982421875, 0.751953125, 0.2099609375]",
26,PO,"[0.658203125, 0.2255859375, 0.6865234375, 0.2392578125]",
27,Number:,"[0.6875, 0.2265625, 0.751953125, 0.2373046875]",
28,Balance,"[0.6328125, 0.2548828125, 0.70703125, 0.26953125]",
29,Due:,"[0.7099609375, 0.2548828125, 0.7529296875, 0.26953125]",
30,Apr,"[0.83984375, 0.140625, 0.8701171875, 0.1572265625]",
31,"5,","[0.869140625, 0.1396484375, 0.8876953125, 0.1572265625]",
32,2022,"[0.88671875, 0.140625, 0.927734375, 0.1552734375]",
33,Card,"[0.890625, 0.16796875, 0.9287109375, 0.1826171875]",
34,May,"[0.833984375, 0.197265625, 0.8681640625, 0.212890625]",
35,"6,","[0.869140625, 0.197265625, 0.8857421875, 0.2119140625]",
36,2022,"[0.8876953125, 0.1982421875, 0.92578125, 0.2099609375]",
37,54321,"[0.8798828125, 0.224609375, 0.9267578125, 0.2392578125]",
38,710.72,"[0.8564453125, 0.2548828125, 0.9287109375, 0.26953125]",
39,Item,"[0.072265625, 0.330078125, 0.107421875, 0.3447265625]",
40,surface,"[0.0732421875, 0.365234375, 0.1328125, 0.376953125]",
41,pro,"[0.1337890625, 0.365234375, 0.1650390625, 0.3798828125]",
42,mouse,"[0.072265625, 0.3876953125, 0.126953125, 0.3984375]",
43,Quantity,"[0.599609375, 0.3310546875, 0.662109375, 0.345703125]",
44,1,"[0.599609375, 0.36328125, 0.609375, 0.376953125]",
45,2,"[0.59765625, 0.3857421875, 0.6123046875, 0.400390625]",
46,Rate,"[0.7666015625, 0.330078125, 0.8037109375, 0.3447265625]",
47,"R1,500.00","[0.7275390625, 0.365234375, 0.80078125, 0.376953125]",
48,R20.00,"[0.75, 0.38671875, 0.8017578125, 0.3984375]",
49,Amount,"[0.8701171875, 0.33203125, 0.927734375, 0.34375]",
50,"R1,500.00","[0.8525390625, 0.365234375, 0.9267578125, 0.376953125]",
51,R40.00,"[0.875, 0.38671875, 0.927734375, 0.3984375]",
52,Subtotal:,"[0.685546875, 0.470703125, 0.7509765625, 0.482421875]",
53,Discount,"[0.6328125, 0.4990234375, 0.697265625, 0.509765625]",
54,(12%):,"[0.7001953125, 0.498046875, 0.751953125, 0.5126953125]",
55,Tax,"[0.6669921875, 0.525390625, 0.69921875, 0.5400390625]",
56,(10%):,"[0.7001953125, 0.5263671875, 0.751953125, 0.541015625]",
57,Shipping:,"[0.681640625, 0.5546875, 0.7509765625, 0.5693359375]",
58,Total:,"[0.708984375, 0.5830078125, 0.7509765625, 0.5947265625]",
59,Amount,"[0.6513671875, 0.611328125, 0.708984375, 0.623046875]",
60,Paid:,"[0.7119140625, 0.609375, 0.7529296875, 0.6240234375]",
61,"R1,540.00","[0.8525390625, 0.470703125, 0.9287109375, 0.4833984375]",
62,R184.80,"[0.8662109375, 0.4990234375, 0.927734375, 0.509765625]",
63,135.52,"[0.8662109375, 0.5263671875, 0.927734375, 0.5380859375]",
64,R20.00,"[0.8740234375, 0.5537109375, 0.9287109375, 0.568359375]",
65,"£1,510.72","[0.8515625, 0.58203125, 0.9287109375, 0.5966796875]",
66,R800.00,"[0.8662109375, 0.611328125, 0.927734375, 0.623046875]",
