,words,bbox,tags
0,Microsoft,"[0.1103515625, 0.044921875, 0.1904296875, 0.05859375]",
1,INVOICE,"[0.7509765625, 0.03515625, 0.9375, 0.0625]",
2,#2,"[0.9013671875, 0.072265625, 0.9375, 0.0908203125]",
3,Mountain,"[0.0791015625, 0.10546875, 0.15234375, 0.1162109375]",
4,"View,","[0.1552734375, 0.103515625, 0.2001953125, 0.119140625]",
5,"California,","[0.2021484375, 0.1044921875, 0.283203125, 0.119140625]",
6,United,"[0.287109375, 0.1044921875, 0.3388671875, 0.1162109375]",
7,States,"[0.341796875, 0.1044921875, 0.392578125, 0.1162109375]",
8,Bill,"[0.078125, 0.142578125, 0.1044921875, 0.158203125]",
9,To:,"[0.103515625, 0.142578125, 0.1318359375, 0.158203125]",
10,"Redmond,","[0.080078125, 0.1640625, 0.16015625, 0.1787109375]",
11,"Washington,","[0.0791015625, 0.1806640625, 0.177734375, 0.1943359375]",
12,United,"[0.181640625, 0.1806640625, 0.2333984375, 0.1923828125]",
13,States,"[0.0791015625, 0.1962890625, 0.1298828125, 0.2080078125]",
14,Ship,"[0.2978515625, 0.1435546875, 0.333984375, 0.1591796875]",
15,To:,"[0.333984375, 0.142578125, 0.36328125, 0.158203125]",
16,"Redmond,","[0.2998046875, 0.1640625, 0.3798828125, 0.1787109375]",
17,"Washington,","[0.298828125, 0.1806640625, 0.3974609375, 0.1943359375]",
18,United,"[0.4013671875, 0.1806640625, 0.453125, 0.1923828125]",
19,States,"[0.298828125, 0.1962890625, 0.349609375, 0.2080078125]",
20,Date:,"[0.7119140625, 0.1416015625, 0.751953125, 0.1533203125]",
21,Payment,"[0.6318359375, 0.1708984375, 0.6953125, 0.1826171875]",
22,Terms:,"[0.6982421875, 0.169921875, 0.751953125, 0.181640625]",
23,Due,"[0.67578125, 0.1962890625, 0.7099609375, 0.2109375]",
24,Date:,"[0.7109375, 0.1982421875, 0.751953125, 0.2099609375]",
25,PO,"[0.658203125, 0.2255859375, 0.6865234375, 0.2392578125]",
26,Number:,"[0.6875, 0.2265625, 0.751953125, 0.2373046875]",
27,Balance,"[0.6328125, 0.2548828125, 0.70703125, 0.26953125]",
28,Due:,"[0.7099609375, 0.2548828125, 0.7529296875, 0.26953125]",
29,Apr,"[0.8310546875, 0.140625, 0.861328125, 0.1572265625]",
30,"20,","[0.8603515625, 0.140625, 0.8876953125, 0.15625]",
31,2022,"[0.8876953125, 0.140625, 0.9287109375, 0.1552734375]",
32,cash,"[0.8916015625, 0.169921875, 0.9287109375, 0.181640625]",
33,May,"[0.8251953125, 0.197265625, 0.859375, 0.212890625]",
34,"18,","[0.861328125, 0.1962890625, 0.88671875, 0.212890625]",
35,2022,"[0.8876953125, 0.1982421875, 0.9267578125, 0.2099609375]",
36,12345,"[0.880859375, 0.224609375, 0.9287109375, 0.2392578125]",
37,$140.00,"[0.8583984375, 0.255859375, 0.927734375, 0.2705078125]",
38,Item,"[0.072265625, 0.330078125, 0.107421875, 0.3447265625]",
39,surface,"[0.0732421875, 0.365234375, 0.1328125, 0.376953125]",
40,pro,"[0.1337890625, 0.365234375, 0.1650390625, 0.3798828125]",
41,Quantity,"[0.599609375, 0.3310546875, 0.662109375, 0.345703125]",
42,1,"[0.599609375, 0.36328125, 0.609375, 0.376953125]",
43,Rate,"[0.7666015625, 0.330078125, 0.8037109375, 0.3447265625]",
44,"$2,000.00","[0.728515625, 0.365234375, 0.80078125, 0.376953125]",
45,Amount,"[0.8701171875, 0.33203125, 0.927734375, 0.34375]",
46,"$2,000.00","[0.853515625, 0.365234375, 0.9267578125, 0.376953125]",
47,Subtotal:,"[0.685546875, 0.4482421875, 0.7509765625, 0.4599609375]",
48,Discount,"[0.6328125, 0.4765625, 0.697265625, 0.4873046875]",
49,(30%):,"[0.7001953125, 0.474609375, 0.7529296875, 0.4921875]",
50,Tax,"[0.6669921875, 0.5029296875, 0.7001953125, 0.517578125]",
51,(10%):,"[0.7001953125, 0.50390625, 0.7509765625, 0.5185546875]",
52,Total:,"[0.708984375, 0.5322265625, 0.7509765625, 0.5439453125]",
53,Amount,"[0.6513671875, 0.560546875, 0.708984375, 0.572265625]",
54,Paid:,"[0.7119140625, 0.560546875, 0.7509765625, 0.572265625]",
55,"$2,000.00","[0.853515625, 0.447265625, 0.927734375, 0.4619140625]",
56,$600.00,"[0.8671875, 0.4765625, 0.927734375, 0.48828125]",
57,$140.00,"[0.8671875, 0.5048828125, 0.927734375, 0.5166015625]",
58,"$1,540.00","[0.853515625, 0.533203125, 0.9267578125, 0.544921875]",
59,"$1,400.00","[0.853515625, 0.5595703125, 0.927734375, 0.57421875]",
